Designator,Mid X,Mid Y,Rotation,Layer
R2_2,92.5,-104.6,0.0,top
R2,149.92,-162.02,0.0,top
R3_9,138.01,-162.92,0.0,top
R3_8,109.3,-162.92,0.0,top
R3_7,166.72,-134.21,0.0,top
R3_6,138.01,-134.21,0.0,top
R3_5,109.3,-134.21,0.0,top
R3_4,166.72,-105.5,0.0,top
R3_3,138.01,-105.5,0.0,top
R3_2,109.3,-105.5,0.0,top
R3,166.72,-162.92,0.0,top
R4_9,131.71,-150.92,0.0,top
R4_8,103.0,-150.92,0.0,top
R4_7,160.42,-122.21,0.0,top
R4_6,131.71,-122.21,0.0,top
R4_5,103.0,-122.21,0.0,top
R4_4,160.42,-93.5,0.0,top
R4_3,131.71,-93.5,0.0,top
R4_2,103.0,-93.5,0.0,top
R4,160.42,-150.92,0.0,top
R5_9,123.21,-164.92,90.0,top
R5_8,94.5,-164.92,90.0,top
R5_7,151.92,-136.21,90.0,top
R5_6,123.21,-136.21,90.0,top
R5_5,94.5,-136.21,90.0,top
R5_4,151.92,-107.5,90.0,top
R5_3,123.21,-107.5,90.0,top
R5_2,94.5,-107.5,90.0,top
R5,151.92,-164.92,90.0,top
R6_9,118.91,-161.92,90.0,top
R6_8,90.2,-161.92,90.0,top
R6_7,147.62,-133.21,90.0,top
R6_6,118.91,-133.21,90.0,top
R6_5,90.2,-133.21,90.0,top
R6_4,147.62,-104.5,90.0,top
R6_3,118.91,-104.5,90.0,top
R6_2,90.2,-104.5,90.0,top
R6,147.62,-161.92,90.0,top
R7_9,138.01,-161.32,0.0,top
R7_8,109.3,-161.32,0.0,top
R7_7,166.72,-132.61,0.0,top
R7_6,138.01,-132.61,0.0,top
R7_5,109.3,-132.61,0.0,top
R7_4,166.72,-103.9,0.0,top
R7_3,138.01,-103.9,0.0,top
R7_2,109.3,-103.9,0.0,top
R7,166.72,-161.32,0.0,top
R8_9,133.21,-147.42,180.0,top
R8_8,104.5,-147.42,180.0,top
R8_7,161.92,-118.71,180.0,top
R8_6,133.21,-118.71,180.0,top
R8_5,104.5,-118.71,180.0,top
R8_4,161.92,-90.0,180.0,top
R8_3,133.21,-90.0,180.0,top
R8_2,104.5,-90.0,180.0,top
R8,161.92,-147.42,180.0,top
R9_9,125.585,-165.82,0.0,top
R9_8,96.875,-165.82,0.0,top
R9_7,154.295,-137.11,0.0,top
R9_6,125.585,-137.11,0.0,top
R9_5,96.875,-137.11,0.0,top
R9_4,154.295,-108.4,0.0,top
R9_3,125.585,-108.4,0.0,top
R9_2,96.875,-108.4,0.0,top
R9,154.295,-165.82,0.0,top
SW1_9,117.71,-157.42,270.0,top
SW1_8,89.0,-157.42,270.0,top
SW1_7,146.42,-128.71,270.0,top
SW1_6,117.71,-128.71,270.0,top
SW1_5,89.0,-128.71,270.0,top
SW1_4,146.42,-100.0,270.0,top
SW1_3,117.71,-100.0,270.0,top
SW1_2,89.0,-100.0,270.0,top
SW1,146.42,-157.42,270.0,top
SW2_9,139.71,-157.42,90.0,top
SW2_8,111.0,-157.42,90.0,top
SW2_7,168.42,-128.71,90.0,top
SW2_6,139.71,-128.71,90.0,top
SW2_5,111.0,-128.71,90.0,top
SW2_4,168.42,-100.0,90.0,top
SW2_3,139.71,-100.0,90.0,top
SW2_2,111.0,-100.0,90.0,top
SW2,168.42,-157.42,90.0,top
SW3_9,128.71,-146.42,180.0,top
SW3_8,100.0,-146.42,180.0,top
SW3_7,157.42,-117.71,180.0,top
SW3_6,128.71,-117.71,180.0,top
SW3_5,100.0,-117.71,180.0,top
SW3_4,157.42,-89.0,180.0,top
SW3_3,128.71,-89.0,180.0,top
SW3_2,100.0,-89.0,180.0,top
SW3,157.42,-146.42,180.0,top
SW4_9,128.71,-168.52,0.0,top
SW4_8,100.0,-168.52,0.0,top
SW4_7,157.42,-139.81,0.0,top
SW4_6,128.71,-139.81,0.0,top
SW4_5,100.0,-139.81,0.0,top
SW4_4,157.42,-111.1,0.0,top
SW4_3,128.71,-111.1,0.0,top
SW4_2,100.0,-111.1,0.0,top
SW4,157.42,-168.52,0.0,top
U1_9,128.71,-157.42,270.0,top
U1_8,100.0,-157.42,270.0,top
U1_7,157.42,-128.71,270.0,top
U1_6,128.71,-128.71,270.0,top
U1_5,100.0,-128.71,270.0,top
U1_4,157.42,-100.0,270.0,top
U1_3,128.71,-100.0,270.0,top
U1_2,100.0,-100.0,270.0,top
U1,157.42,-157.42,270.0,top
